,Year,Coffee,Corn,Sugar,Agri_Machinery_ETF,Food_Beverage_ETF,Investment_Funds_ETF,Restaurant_FastFood_ETF,Retail_ETF
0,1999,103.88442438,90.29406439833333,6.264687497583334,35.8965623214049,38.57462352478393,127.57614201912574,33.65664208502894,16.157612350192778
1,2000,87.20410989333334,88.21922933833334,8.079841593333333,30.986466111556833,34.64248007753658,127.23707129997358,30.348853294192015,13.999203105701222
2,2001,62.28413259333333,89.60913795583333,8.231553481583333,34.25468820664299,39.818913894304295,111.49574657899952,30.839900793666914,19.52138803622961
3,2002,61.46206826833333,99.33326691166667,6.23694913425,37.34722121112149,42.96085213904087,96.26376233527108,29.173834946153608,46.39531071977293
4,2003,64.17286205333333,105.2453630225,6.925712455749999,42.52062642356643,44.42856472487531,91.97196323823128,23.858357344841817,41.22451407693587
5,2004,80.47952485333333,111.89486579083332,7.5450976333333335,55.55049471013397,45.95299950499032,100.69861983985555,29.97645911179056,37.561603401560085
6,2005,114.85391927416667,98.507651755,10.070183538916666,55.32788014314286,45.61580339127645,105.04911001952269,36.067338252516265,46.506956309361016
7,2006,114.40885786666666,121.64739308333333,14.788469888333333,61.071519766402695,46.000083244237565,113.3891569519308,40.772487885163194,53.05732659849628
8,2007,123.61387753333334,163.60989114999998,9.956637145916666,81.25750063477429,48.33192408538551,129.13046854688943,51.56999072471632,47.89032003823065
9,2008,139.71246561666666,223.36028938333334,12.452206505833333,63.93042366174104,42.75378321809017,108.62086980443028,45.183807905364944,36.97986824919862
10,2009,143.75475765833332,165.62834758333335,18.150360863333333,43.40413418311518,39.8821858225563,86.68813768182231,44.80714889783982,42.16508399889616
11,2010,196.049092,185.95650480833334,20.89092549,61.67844935204724,44.504492993669544,102.7665001817482,78.24138638213353,55.45622502407827
12,2011,271.10805784166666,291.8540831083333,26.235583630833332,79.66751410730144,44.25509014286029,109.27900840964456,145.4213375517693,62.292584514668086
13,2012,186.44158315,298.43754856666663,21.374501965833332,87.59732925581181,48.14876583855824,118.94053593696373,193.05974822230908,89.65669193611173
14,2013,139.48433732499998,258.97946566666667,17.708547545833333,96.38528347425613,58.923661201371864,142.13997566113417,230.63369392577872,100.83466819150168
15,2014,200.35589637500001,192.93923405833334,17.127041227499998,97.78461919033148,67.66502674323209,177.51595525715388,350.5532715999188,67.45582864657877
16,2015,159.90368584166666,169.84463653333333,13.215140804999999,83.72217530422769,82.71469230946849,191.2366536315554,387.9379267081499,87.33035742331317
17,2016,163.83998469166667,159.22097156666666,18.143677311666668,88.6860236623224,87.83120196063236,194.30440857196507,272.21315087249167,82.90356281064426
18,2017,150.75595340833334,154.59502045,15.83465496,117.1154912364148,103.13429030192742,233.58142132688647,249.61301551669237,63.331385898276096
19,2018,132.71492668333335,164.51082855833332,12.251344678333332,125.43273047979652,95.02274959687372,266.8903317363163,273.96568788575956,78.15447355096974
20,2019,130.55576145,170.16944504166668,12.3504703225,125.59275682200762,138.07957864962114,284.00480133369786,419.1241095324124,98.05859345098462
21,2020,150.83195004166666,165.57838848333333,12.884191073333334,133.20602120035178,136.24943441397994,321.9974709736942,582.3258308760744,120.79017115417156
22,2021,204.694029225,259.39483821666664,17.856061030833335,231.15349603533105,191.65839212213848,331.4836171199912,901.6277825582706,188.5489637925546
23,2022,255.4659020583333,318.361028125,18.825534238333333,242.9737873421971,259.02572002027046,299.6099022462238,876.5801517831918,206.7007540673501
24,2023,205.95975239166668,251.45554121666666,24.04217527,271.2081479236578,319.1702290569472,328.5570254645828,1156.3458094875712,219.10758469918213
25,2024,203.8791304,198.7579285,22.47478261,275.591444922527,423.2742032117207,383.80993505853405,1523.165087880055,229.40420536160877
